Country,Port,Unlocode,"Vessels In Port","Departures (last 24hrs)","Arrivals (last 24hrs)","Expected Arrivals","Local Time","Related Anchorage","Area Global","Area Local"
India,"KG D6 RUBY",,0,0,0,0,"2024-10-22 13:05",,"East Coast India","Bengal Bay"
India,KOLGAON,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,KOYILANDY,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,"KRISHNAPATNAM ANCH",,0,0,0,0,"2024-10-22 13:05",,"East Coast India","Bengal Bay"
India,KUDANKULAM,,0,0,0,0,"2024-10-22 13:05",,"East Coast India","Laccadive Sea"
India,MALVAN,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,MANGROL,INMGR,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,MAVAKURVE,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,MUTTOM,,0,0,0,0,"2024-10-22 13:05",,"East Coast India","Laccadive Sea"
India,NAGAPATTINAM,INNPT,0,0,0,0,"2024-10-22 13:05",,"East Coast India","Bengal Bay"
India,NAVABANDAR,INNVB,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,NOORPUR,,0,0,0,0,"2024-10-22 13:05",,"East Coast India","Bengal Bay"
India,PILIGAO,,0,0,0,0,"2024-10-22 13:05","MORMUGAO ANCH","West Coast India","West Coast India"
India,PONNANI,INPNN,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,"PREM PRIDE",,0,0,0,0,"2024-10-22 13:05",,,
India,RAMESHWARAM,INRAM,0,0,0,0,"2024-10-22 13:05",,"East Coast India","Bengal Bay"
India,"RANPAR ANCH",,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,RATNAGIRI,INRTC,0,0,0,0,"2024-10-22 13:05","RATNAGIRI ANCH","West Coast India","West Coast India"
India,"RATNAGIRI ANCH",,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,RUKMAWATI,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,"SAGAR BHUSHAN",,0,0,0,0,"2024-10-22 13:05",,,
India,SANGHI,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,SARTANPAR,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,TADADI,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,"VELHA GOA",,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,VENGALI,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,VENKATAPUR,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,VERAVAL,INVVA,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,VIJAYDURG,INVYD,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
